"Sydney","NSW","Australia","-33.8667,151.2000"
"Melbourne","Victoria","Australia","-37.8333,144.9667"
"Brisbane","Queensland","Australia","-27.4667,153.0167"
"Adelaide","South Australia","Australia","-34.9167,138.6000"
"Perth","Western Australia","Australia","-31.9500,115.8500"
"Hobart","Tasmania","Australia","-42.8833,147.2833"
"Darwin","Northern Territory","Australia","-12.4500,130.8333"
"Canberra","ACT","Australia","-35.3000,149.1333"
,,"Australia",
,"NSW","Australia",
,"Victoria","Australia",
,"Queensland","Australia",
,"South Australia","Australia",
,"Western Australia","Australia",
,"Tasmania","Australia",
,"Northern Territory","Australia",
,"ACT","Australia",
,"NSW","Australia",
